,한글 이름,영문 이름,가격,종류,나라,도시,아로마,음식매칭,전문가 평점,소비자 평점,알코올,당도,산도,바디,타닌,메이커스 노트,테이스팅 노트
41,"깐티나 칭퀘테레, 칭퀘테레","Cantina Cinque Terre, Cinque Terre",60000.0,,이탈리아,칭퀘 테레,"꽃, 시트러스, 자몽, 효모, 꿀","시푸드, 육류요리, 전채요리",-,3.5,12.5 %,1,3,4,1,"영롱하게 반짝이는 옅은 황금 노란 빛을 띠고, 강렬하면서도 부드러운 야생 꽃 과 꿀, 섬세한 자몽, 시트러스향과 함께 따스한 부케가 느껴진다. 섬세하고 드라이한 입맛을 지녔으며 포도의 특성에 맞춰 적절한 발효과정을 거쳐 신선하면서도 응축된 맛과 향이 완벽한 밸런스를 이루며 마지막까지 향긋한 피니쉬가 잘 나타나는 와인이다.

품종에 가장 어울리는 방식으로 순수하게 발효 후 짧은 침용과정을 거친 뒤 스테인레스 통에서 효모와 숙성 시간을 가져 와인의 향과 맛이 풍부하게 나타나며, 깔끔하면서도 섬세한 느낌의 고급 화이트 와인의 전형을 보여준다.",
42,"체라볼로, 쁘띠 베르도","Ceravolo, Petit Verdot",65000.0,,호주,애들레이드 플레인스,"자두, 자두, 체리, 블랙커런트, 후추, 오크",,-,3.7,15 %,2,3,5,3,,"
marissachu
2018.10.07
2013 빈티지
3.5
1804 tasting at coex expo
marissachu
2018.10.07
2013 빈티지
3.5
1804 tasting at coex expo"
43,"페블레, 메르퀴레 루즈","Faiveley, Mercurey Rouge",69000.0,,프랑스,메르뀌레,"석류, 체리, 딸기","닭고기, 돼지고기, 돼지, 파스타, 샐러드",-,3.5,,1,3,3,2,"석류색을 띠고, 체리, 딸기의 섬세하고 우아한 과일향과 진한 과일맛과 가벼운 바디, 그리고 상큼한 산도가 어우러져 더욱 상쾌함을 더해진 와인이다.",
44,"파네세, 그랑사쏘","Farnese, Gran Sasso",,,이탈리아,아브루쪼,"체리, 블랙베리, 치즈",,-,-,,1,3,3,3,"바이올렛 뉘앙스의 강렬한 레드컬러의 이 와인은 처음에는 신선하고 산뜻한 체리, 야생앵두, 블랙베리의 아로마로 후각을 깨우고, 진한 발사믹 풍미로 미각을 자극한다. 타니의 밸런스가 좋아 구조감이 탁월하여 시즈닝된 치즈나 특히 이탈리아 전통 살루미(Salimi)나 수프등과 뛰어안 매칭을 보여준다.

“Gran Sasso”는 이태리 아브루쪼 테라모 지역을 상징하는 산맥으로, 그랑사쏘 와인의 레이블을 자세히 들여다 보면 산맥의 모양이 여인이 누워있는 형상을 하고 있음을 알 수 있다. 그래서 이 와인의 부제가 바로 “잠자는 숲속의 미녀(La Bella Addormentata)”.

남부 아브루쪼를 중심으로 뿔리아, 바실리카타, 깜파니아, 시칠리아를 아우르는 다양한 시도와 끊임없는 노력으로 이태리 남부 와이너리의 강자로 불리는 파네세의 발렌티노 쇼티씨가 자신의 팀과 심혈을 기울여 내놓은 또 다른 야심작이다. 이미 몬테풀치아노를 세계적인 품종으로 끌어올린 파네세 그룹의 노하우가 녹아 든 그랑사쏘는 달콤한 왕자의 키스처럼 잠자는 숲속의 미녀를 깨울 몬테풀치아노 대표와인으로 거듭나고 있다.

신선함과 과실의 향, 그리고 표현력이 뛰어나 코스트 퍼포먼스가 뛰어난 와인을 찾는 젊은 와인애호가들에게 안성맞춤이다.",
45,디히터트라움 리슬링,Dichtertraum Riesling,,스파클링,독일,모젤-자르-루버,"복숭아, 시트러스",,-,3.4,,2,5,3,1,"새콤달콤함 아로마가 기분 좋게 느껴지며, 프레쉬함과 싱그러움이 미각을 자극하는 와인이다. 발랄한 버블은 지속적으로 입안에 머물러 있으며 시트러스류, 복숭아의 미감이 좋은 와인이다.

Dichtertraum(디히터트라움 = 시인의 꿈)이라 불리는 젝트는 괴테가 그린 그림을 바탕으로 라벨이 만들어져 있다. 라벨의 그림은 세계평화조약이 맺어진 쉥겐지역으로 괴테가 꿈꾸었던 유럽의 평화가 이루어졌다는 의미에서 '시인의 꿈'라는 이름이 붙여졌다.",
46,"떼땅져, 리저브 브뤼","Taittinger, Reserve Brut",174000.0,스파클링,프랑스,샹빠뉴,"복숭아, 바닐라, 브리오슈, 꽃, 흰꽃, 아카시아","디저트, 샐러드",-,4,12~13 %,1,5,3,1,"금색의 노란색을 띠는 브뤼의 거품은 섬세하게 표현된다. 과일과 브리오슈의 향을 강하게 느낄 수 있으며, 복숭아, 시트러스, 흰꽃향(산사나무, 아카시아)과 바닐라 향이 은은하게 느껴진다. 입안에서는 생동감 있는 산도와 크리미한 버블, 우아한 텍스처가 매력적이며, 신선하고 밸런스가 뛰어난 와인으로 3-4년의 숙성을 거쳐 탁월한 아로마의 잠재력을 지닌 샴페인이다. 35개의 각기 다른 크뤼의 포도밭에서 생산된 포도를 블렌딩하며, 최소 3년 이상 셀러 숙성 후 출시되는 와인이다.",
47,제이콥스 크릭 스파클링 로제,Jacob's Creek Sparkling Rose,41000.0,스파클링,호주,사우스 이스턴 오스트레일리아,"딸기, 시트러스, 레몬, 효모","나물, 디저트, 아페리티프, 과일, 딸기",-,3.5,11.5 %,2,3,3,1,"핑크 장미 컬러에 상큼한 레몬 향과 신선한 딸기 향이 프레시한 매력을 풍기는 스파클링 와인이다. 입안 가득 터지는 기포가 기분 좋게 펼쳐지며 여운까지 느껴지는 풍미가 매력적이다.

No 1 호주 와인 브랜드이자 2014년, 전 세계에서 가장 많은 수상 실적을 보유한 와인 브랜드인 제이콥스 크릭의 스파클링 와인이다. 같은 가격대의 다른 스파클링 와인들과는 다르게 샴페인을 만드는 방식으로 병 내 2차 발효를 진행하여 기포가 곱게 지속적으로 올라오는 프리미엄 스파클링 와인이다.","
변용진
2016.06.01
NV 빈티지
3.5
차갑게 칠링한 로제 스파클링 와인은 특유의 청량감으로 몸과 마음에 신선한 기운을 불어넣어 준다. No.1 호주 와인 브랜드인 제이콥스 크릭이 만든 로제 스파클링은 제철 과일인 딸기나 참외 등과 잘 어울린다. 또, 캠핑에서 즐길 수 있는 조개구이부터 기름진 삼겹살과 스테이크 그리고 야채구이까지 다양한 음식들과 함께하기 좋은 와인이다. 또한 샴페인과 같이 병 내에서 2차 발효를 진행해 기포가 섬세하고 밸런스가 뛰어나다. 적은 예산으로도 프리미엄급의 와인 맛을 즐길 수 있다."
48,"캐논볼, 소노마 샤르도네","Cannonball, Sonoma Chardonnay",50000.0,,미국,소노마 카운티,"아몬드, 사과, 복숭아, 모과, 바닐라, 브리오슈",,-,-,13.7 %,1,3,4,1,"사과, 레몬 커스터드, 복숭아, 아몬드의 아로마를 지녔다. 풍부한 산도와 크리미한 부드러움, 복합적인 구조가 특징이다. 복숭아, 브리오슈, 모과 설탕절임의 맛이 강하고, 이국적인 바닐라 향이 독특하면서도 오랫동안 지속되는 피니시와 잘 어우러지는 와인이다.

풍부한 수확 덕분에 2013 빈티지는 훌륭함, 그 이상의 퀄리티를 자랑한다. 봄 날씨는 따뜻하고 건조하여 포도가 완벽하게 무르익는 데에 이상적인 조건에 가까웠다. 촉촉하게 비가 내렸던 겨울과 봄, 낮은 강우량을 기록했던 여름을 거치면서 훌륭한 밸런스, 산도, 당분, 우아한 빛깔, 그리고 최고의 맛을 낼 수 있었다. 수확된 샤르도네의 50%는 프렌치 오크에서, 나머지는 스테인리스 통에서 숙성기간을 거쳤다. 유산 숙성을 거친 포도는 최고의 밸런스를 갖춘 진정한 와인로 거듭났다.",
49,"콜도르치아, 로쏘 디 몬탈치노","Col d'Orcia, Rosso di Montalcino",,,이탈리아,몬탈치노,"체리, 블랙베리, 오크",치즈,-,3.8,14~15 %,1,4,3,3,"보랏빛이 도는 깊은 루비 레드의 색을 가지고 있다. 잘 익은 붉은 과일, 블랙베리와 체리의 전형적인 과일향들이 오크통의 향과 잘 균형을 이루고 있는 와인이다. 좋은 구조를 가지고 있고, 부드럽고 기분 좋은 타닌감이 느껴진다. 마시고 난 이후에도 과일향의 여운이 길게 남는다.

신선한 포도를 얕고 넓은 강철 탱크에서 28도 이하의 온도로 10~12일간 껍질째로 발효시킨다. 12개월간 7,500~15,000리터 크기의 대형 오크통에서 숙성을 진행한 이후 정제하여 병입한다.",
50,챕터 24 빈야즈 더 플러드,Chapter 24 Vineyards The Flood,180000.0,,미국,윌라메트 밸리,"배, 오크, 미네랄",스테이크,-,-,13~14 %,1,5,4,3,"2000년이 넘는 세월 동안 약 25회에 걸쳐, 밝은 강청색의 컬럼비아 강물이 Willamette Valley를 태평양까지 휩쓸고 가는 대홍수를 일으키며 Missoula 빙하호를 폭발시켰다. 이 홍수는 바윗돌, 빙하 잔해, 토사물 등을 남기며 Willamette Valley의 퇴적층을 형성하였다.

The Flood는 Chehalem Mountain과 Yamhill-Carlton Ribbon Ridge AVA’s에 위치한 4개의 빈야드(Saikonnen, Lichtenwalter, Stardance, Lachini)에서 재배된 포도를 혼합하여 생산되었다. 홍수로 형성된 정적토에서 재배된 포도는 이 와인을 마시는 순간 느낄 수 있는 “미네랄” 캐릭터를 선사한다.

Chapter 24 빈야드의 모든 와인들은 온도, 산소량 등이 완벽한 조건에서 전통적인 바스켓 프레스(Basket Press) 방식으로 압착된다. Sequin Moreau와 Francois Freres의 오크통에서 12개월 동안 숙성하며 이 중 30%는 새 오크통이다. 100% 줄기제거 작업을 거친다.",
51,미구엘 토레스 코디렐라 시라,Miguel Torres Cordillera Syrah,,,칠레,마울레 밸리,"배, 체리, 감초, 잼","스테이크, 참치, 과일",-,-,14~15 %,1,3,4,4,"강렬한 다크 체리 컬러를 띠며 토바코와 향나무의 내음과 함께 그을린 듯한 레드 커런트 잼의 아로마가 풍부하게 피어난다. 입 안에서는 강건한 탄닌이 스파이시한 감초 향과 어우러져 완벽한 조화를 이루며, 길고 우아한 피니시로 이어지는 와인이다.

Cordillera (안데스 산맥)에 위치한 마울레 벨리에서는 매일 아침 일출과 함께 땅과 포도나무가 하나 되는 장엄한 의식이 시작된다. 태평양 ‘Cordillera (안데스 산맥)’의 해안선에 위치한 이곳은 따뜻하고 해 Syrah 품종을 재배하기에 이상적인 기후로, 과일향이 풍부하면서 개성이 돋보이는 와인을 생산한다.",
52,보떼르 모스카토,Botter Moscato,30000.0,,이탈리아,뿔리아,"디저트, 치즈",,-,-,8 %,4,2,3,1,"황금빛 짚볏 색깔을 가지고 있고 모스카토의 전형적인 향기로운 부케와 스위트하고 풍부한 과일향과 맛을 가지고 있는 와인이다.

엄선된 모스카토 포도를 선별하여 부드럽게 짜내고 그것을 0도의 스테인레스 스틸에서 발효 과정을 거친다. 다시 2차 발효를 17-18도 사이에서 진행하고 8도의 알코올도수에 이르게 한다. 이후 필터와 병입과정을 거치게 된다.",
53,"코노 수르, 20 배럴 피노 누아","Cono Sur, 20 Barrels Pinot Noir",90000.0,,칠레,카사블랑카 밸리,"배, 자두, 자두, 체리, 딸기, 가죽","치즈, 에멘탈, 닭고기, 파스타, 버섯",-,4.1,14 %,1,3,4,3,"밝은 루비색을 띠고 있으며 체리, 딸기, 라즈베리, 자두 등 신선한 과일의 풍부한 향과 함께 약간의 스모키한 여운, 가죽 향이 나타난다. 입 안에서 잘 익은 과일의 은은하고 부드러운 맛과 섬세한 탄닌 맛, 길게 지속되는 여운을 한껏 즐길 수 있는 프리미엄급 피노 누아 와인이다. 손으로 수확한 포도로 양조해 80%는 프랑스산 배럴에서, 20%는 스테인리스 스틸 탱크에서 12개월 간 숙성해 병입한다.

코노 수르 20배럴 시리즈는 1996년 최고의 피노 누아를 엄선해 20배럴 분량만 한정적으로 만들며 탄생한 ‘리미티드 에디션’ 브랜드다. 세계적인 성공을 거둔 후 포도품종을 확대해 현재는 까베르네 소비뇽(1997년 론칭), 메를로(1998년 론칭), 샤르도네(2002년 론칭), 소비뇽 블랑(2005년 론칭), 시라(2008년 론칭) 등 다양한 버전을 선보이고 있다.",
54,뱅드비엔 꼬뜨 뒤 론,Les Vins de Vienne Cotes du Rhone 'Les Cranilles',50000.0,,프랑스,꼬뜨 뒤 론,"배, 후추, 꽃, 허브",파스타,-,-,14.5 %,1,3,3,3,"은은한 연보라 빛 루비 컬러. 바이올렛과 허브의 풋풋한 향이 초반을 지배한다면 시간이 지날 수록 숨어 있던 후추 향이 밖으로 튀어나오는 형상. 가벼운 타닌과 고운 꽃 향기가 검붉은 베리 풍미를 부드럽게 감싸 안는 느낌. 미디엄 바디에 잔잔한 산미, 감칠맛 남는 여운을 가진 와인이다.

- 재배밀도: 4천~8천 그루/헥타아르
- 수확량: 46헥토리터/헥타아르
- 수확: 완전히 줄기를 제거함
- 발효와 양조: 3~4주간 펀칭과 펌핑을 통하여 착색과 발효를 수행
- 숙성: 12개월간 75% 대형 통(vat), 25% 프렌치 오크통",
55,하시엔다 알바에 888,Hacienda Albae 888,242000.0,,스페인,카스티야-라 만차,"배, 바닐라, 허브, 커피, 초콜릿, 오크, 타바코",,-,-,15.37 %,1,3,4,4,"하시엔다 알바에의 이 와이너리의 시그니처 와인으로 가장 좋은 그리고 완벽하게 숙성된 까베르네 소비뇽, 시라 그리고 메를로 품종이 블렌딩되어 만들어졌다. 뛰어난 구조감과 매우 부드러운 타닌을 가지고 있으며, 신선한 베리류의 과실향과 가죽, 허브, 타바코, 커피, 초콜릿, 바닐라 향이 집중적으로 느껴진다. 프랑스 오크통에 25개월 숙성되었다.

888의 숫자가 지닌 의미는 각 품종별로 특별하게 선별된 8개의 배럴에 담긴 와인으로 블렌딩되었기 때문이다.",
56,"투메레르, 까베르네 프랑 셀렉션","Thummerer, Cabernet Franc Selection",75000.0,,헝가리,에게르,"버섯, 흑연, 미네랄",,-,-,14.5 %,1,3,4,3,"플럼과 같은 과일의 아로마에 향긋한 버섯의 느낌도 있고, 연필심, 흑연과 같은 미네랄 등으로 복합적인 느낌을 주는 훌륭한 와인이다. 수입 전 유명 소믈리에들과 헝가리 레드 와인들을 함께 시음했을 때 가장 놀랍다고 찬사를 받은 와인이기도하다.",
57,보히가스 리제르바 까바 세미 섹,Bohigas Cava Semi Sec Reserva,35000.0,스파클링,스페인,까탈루냐,"배, 사과, 시나몬, 꽃, 시트러스",디저트,-,3,12 %,1,2,3,1,"금빛이 살짝 도는 밝은 연노랑 색상의 와인으로 macabeo와 parellada 포도에서 풍겨 오는 사과나 배의 과실향이 풍부하면서 시트러스, 흰 꽃의 향이 옅게 감도는 가운데, 숙성을 거치면서 쿠키와 시나몬, 스파이시한 부케를 느낄 수 있다. 24개월 동안 지하셀러에서 숙성기간을 거쳐 처음부터 끝까지 구조감과 산도가 훌륭하고, 생동감 넘치는 작 은 버블이 스파이시한 아로마와 함께 부드럽게 입 안에서 퍼지는 신선한 와인이다. 당도가 있어 피니쉬는 볼륨감이 넘친다.","
양진원
2015.08.12
NV 빈티지
3.0
무려 13세기로 그 역사를 거슬러 올라가는 뼈대 굵은 와이너리에서 생산되는 까바이다. 레몬 빛의 와인으로 풋사과와 서양배의 아로마와 함께 시트러스 계열의 과실향, 흰 꽃의 아로마가 인상적이다. 24개월간의 숙성기간을 거쳤으며 탄탄한 산미로 구조감이 훌륭하다. 스파이시한 노트가 살짝 있어 잔잔하게 향신료를 사용한 디저트와 함께하거나 와인 자체를 디저트로 즐기기를 추천하고 싶다."
58,"도멘 생 미셸, 브뤼","Domaine Ste. Michelle, Brut",40000.0,스파클링,미국,콜롬비아 밸리,"사과, 감귤",스시,-,4.4,11~12 %,2,3,3,1,"도멘 생 미셸 브뤼는 콜롬비아 밸리에서 수확한 샤르도네, 피노 누아, 피노 그리를 사용하여 완성한 스파클링 와인으로 잘 익은 사과와 감귤 등의 풍부한 아로마가 특징이며 상쾌한 산도와 섬세한 풍미를 자랑한다.

도멘 생 미셸 브뤼는 워싱턴주의 콜롬비아 밸리에서 생산된 프리미엄 포도로 제조되었다. 이는 프랑스의 유명한 샴페인 지구와 비슷한 북쪽 위도에 위치해 있다. 이 지역은 포도가 성장하는 시즌 동안 일조 시간이 약 2시간 더 길어지기 때문에 더욱 풍부하고 향과 농축된 포도의 맛을 자랑한다. 낮 동안의 충분한 햇빛과 시원한 저녁은 풍부한 향과 상쾌한 산도를 가진 와인을 생산할 수 있게 만들어준다.",
59,"모란데, 비뇨","Morande, Vigno",143000.0,,칠레,마울레 밸리,"자두, 자두, 체리, 토스트, 꽃","치즈, 소고기, 스튜",-,-,14.5 %,1,4,5,4,"농밀하고, 매우 깊은 보랏빛을 띤 붉은색을 띄며, 새콤한 붉은 체리 향과 함께 검은 자두 향이 바이올렛 향과 함께 강렬하게 풍겨온다. 그와 함께 커피와 다크 초콜렛 향도 느낄 수 있다. 입안에서는 체리와 라즈베리 같은 붉은 과실향과 꽃향기, 토스트향이 어우러진다.힘있는 탄닌과 함께 뛰어난 구조감을 보여준다.",
